student_id,age,gender,attendance_rate,gpa,family_income,study_hours_per_week,failed_courses,extracurricular_activities,parent_education,distance_from_home,dropped_out,gender_encoded,income_encoded,education_encoded
1,22,F,0.5817619362925114,3.556055934170696,Low,27,3,4,Master,24.21489133320672,0,0,1,2
2,19,M,0.6955407683258803,3.643905844153209,Low,31,4,2,Bachelor,22.89183578314073,0,1,1,0
3,23,M,0.9847061611676438,3.7915880896030174,Low,0,3,0,High School,1.3477300922494715,0,1,1,1
4,20,M,0.6290667163505638,2.5774630512832406,High,27,0,1,Bachelor,41.15051331735815,1,1,0,0
5,22,M,0.8283683322706461,2.297167045802847,Medium,6,0,1,Bachelor,18.63142013119176,0,1,2,0
6,18,F,0.6625950321123475,2.9554968664852845,Medium,1,1,3,Master,27.497515933726604,0,0,2,2
7,22,F,0.8867365628433004,2.427931058594069,Low,23,2,0,Bachelor,34.18773363044731,1,0,1,0
8,23,M,0.5654368303591749,3.002685417000582,Low,3,1,4,PhD,35.42884924545788,0,1,1,3
9,20,M,0.9849105225392724,3.263964656609561,High,18,2,2,Master,47.84302288247754,0,1,0,2
10,19,M,0.7268947706918196,3.2210125462303423,High,25,3,4,Bachelor,27.035657708593845,1,1,0,0
11,23,M,0.618025231673232,2.436382217550303,Low,10,0,1,High School,20.58625799774695,0,1,1,1
12,23,M,0.5367483736650063,1.917150504246882,Medium,39,2,4,High School,47.73147769809369,0,1,2,1
13,18,M,0.5848789525437703,2.576323346155519,Medium,10,3,1,Master,32.463401516250535,0,1,2,2
14,21,F,0.7598869742780088,1.856485360204772,Medium,2,0,1,Master,15.609367457551226,0,0,2,2
15,20,M,0.6685015882156431,3.725242587959521,Low,11,2,1,Bachelor,7.196748024774987,0,1,1,0
16,17,F,0.9144416829413048,2.3646936518446435,Medium,2,1,1,PhD,42.28517057179389,0,0,2,3
17,23,F,0.715443761830903,1.8861493680583092,High,26,1,1,Bachelor,18.746898536913427,0,0,0,0
18,21,M,0.624357136293815,1.5636193997643772,High,1,1,3,High School,33.36301634685713,0,1,0,1
19,17,F,0.8085724933020151,3.1145559657162107,Low,15,3,4,PhD,24.07000454892901,1,0,1,3
20,20,F,0.8533886084427229,3.092255793636858,High,1,1,3,PhD,10.74755920995688,1,0,0,3
21,16,F,0.5835209539504749,2.351510416453229,Low,29,4,3,PhD,30.48264382240279,0,0,1,3
22,21,F,0.5838096081441588,1.6792797221191276,Medium,19,0,0,Bachelor,3.9734703785834338,0,0,2,0
23,24,F,0.5183357134667714,2.52407223723808,Medium,37,3,0,High School,21.25378053368842,1,0,2,1
24,16,F,0.8682010075328203,2.278043737658484,Medium,27,1,0,Master,27.78413204351988,0,0,2,2
25,18,M,0.8319022638109026,3.1928015993375234,High,24,0,2,Bachelor,22.36630173181037,0,1,0,0
26,22,F,0.7373154378749069,3.014448123631726,Low,31,2,0,Master,37.68493658729855,1,0,1,2
27,19,F,0.9220852244845984,2.41148432049385,Medium,9,1,4,PhD,41.56832277272031,1,0,2,3
28,24,F,0.9028350764750266,2.044731385637476,Low,39,0,3,PhD,38.79091062762573,0,0,1,3
29,18,M,0.792677182198376,3.97008991538898,Medium,32,4,4,Bachelor,2.9018344427783034,0,1,2,0
30,20,F,0.9341356402566292,2.635004052990287,High,12,2,0,High School,10.51230975185264,0,0,0,1
31,18,M,0.6029206050183842,3.220685589450593,High,36,4,2,PhD,27.29376795392494,0,1,0,3
32,22,F,0.5559598096988639,1.851382418945902,Low,15,0,2,Master,46.80627998174626,0,0,1,2
33,20,M,0.6348748057584948,2.7139742491484946,High,21,4,3,Master,41.91288197755373,0,1,0,2
